"SB","binary","octal","hexadecimal"
"SB0359",1.1111111111E+042,777603405760471,"7F-78-1C-0B-F0-4F"
"SB0360",1.11111000111011E+042,770737777617471,"7E-1D-7F-7F-8F-4F"
"SB0361",1.11011000111111E+042,730777777723670,"76-1F-7F-7F-D3-6E"
"SB0362",1.11011000111111E+042,730777777723600,"76-1F-7F-7F-D3-60"
"SB0363",1.11111111111111E+042,777777607760671,"7F-7F-7E-0F-F0-6F"
"SB0382",1.11111111111111E+042,777777777720631,"7F-7F-7F-7F-D0-67"
"SB0393",1.11111111111111E+042,777777777760400,"7F-7F-7F-7F-F0-40"
"SB0410",1.11000111111011E+042,707737307760431,"71-7D-7B-0F-F0-47"
"SB0415",1E+041,200003377207600,"20-00-1B-7E-87-60"
"SB0416",1E+041,200003777207600,"20-00-1F-7E-87-60"
"SB0417",1.0000000001E+041,200103717207600,"20-04-1F-1E-87-60"
"SB0418",1E+041,200003777377600,"20-00-1F-7E-FF-60"
"SB0419",1.000000000001E+041,200023777377600,"20-01-1F-7E-FF-60"
"SB0422",1.110000001111E+042,700740007774671,"70-1E-00-0F-FC-6F"
"SB0423",1.111E+039,74000030000600,"0F-00-00-30-00-60"
"SB0424",1.000000001E+035,2002007000000,"00-40-10-0E-00-00"
"SB0425",1.0101110100011E+041,256433777402600,"2B-51-5F-7F-02-60"
"SB0426",1.10001110111111E+042,616773677777600,"63-5F-5E-7F-FF-60"
"SB0427",1.11111111111111E+042,777777606000031,"7F-7F-7E-0C-00-07"
"SB0431",1.1E+042,600000070000000,"60-00-00-70-00-00"
"SB0435",1.1111111111001E+018,7776200,"00-00-00-0F-FE-20"
"SB0436",1.11111111111E+018,7777000,"00-00-00-0F-FF-00"
"SB0439",1.10000000001111E+041,300076760000011,"30-03-77-60-00-03"
"SB0440",1.1E+042,600000016177600,"60-00-00-1C-7F-60"
"SB0443",1.00000011111011E+042,403737636040401,"40-7D-7E-3C-20-41"
"SB0444",1.11111111111111E+042,777777002000011,"7F-7F-78-04-00-03"
"SB0445",1.00011E+042,430001077777600,"46-00-08-7F-FF-60"
"SB0446",1.0101100000001E+042,530027637560600,"56-01-3E-3F-70-60"
"SB0447",1.1111101011111E+042,772763400001671,"7E-5F-1C-00-01-6F"
"SB0448",1.10111111111111E+042,677777472000000,"6F-7F-7C-74-00-00"
"SB0451",1.11011111111111E+042,737777700000031,"77-7F-7F-00-00-07"
"SB0456",1.11111111111111E+042,777777476000001,"7F-7F-7C-7C-00-01"
"SB0464",1.10110100000111E+042,664073677563600,"6D-03-5E-7F-73-60"
"SB0465",1.10110100000111E+042,664073776333600,"6D-03-5F-7C-DB-60"
"SB0466",1.101110000001E+042,670041777767600,"6E-02-0F-7F-F7-60"
"SB0467",1.11111111111111E+039,77777606060671,"0F-7F-7E-0C-30-6F"
"SB0475",1.11111110011011E+042,776337777000071,"7F-4D-7F-7E-00-0F"
"SB0484",1.10100000111011E+039,64073777777600,"0D-03-5F-7F-FF-60"
"SB0485",1.00001110111111E+042,416773677563600,"43-5F-5E-7F-73-60"
"SB0486",1.10110100000001E+042,664013777777600,"6D-00-5F-7F-FF-60"
"SB0487",1.10110100000011E+042,664031777777600,"6D-01-4F-7F-FF-60"
"SB0490",1.01111111111E+042,577707677403431,"5F-7C-3E-7F-03-47"
"SB0492",1.11111100000111E+042,774077007777071,"7F-03-78-0F-FF-0F"
"SB0494",1.111111110111E+042,777347606560671,"7F-6E-3E-0D-70-6F"
"SB0495",1.11111111111111E+042,777776407760601,"7F-7F-74-0F-F0-61"
"SB0498",1.01011011111111E+042,533777347560471,"56-7F-7B-4F-70-4F"
"SB0507",1.00011111111111E+042,437776777760601,"47-7F-77-7F-F0-61"
"SB0511",1.11111111110011E+042,777637777410071,"7F-79-7F-7F-08-0F"
"SB0519",1.10001110111111E+042,616773677677600,"63-5F-5E-7F-BF-60"
"SB0520",1.10101110101111E+042,656573377777200,"6B-57-5B-7F-FF-20"
"SB0521",1.1011111011111E+042,676763677775200,"6F-5F-1E-7F-FD-20"
"SB0522",1.00111111101111E+042,477577777413071,"4F-77-7F-7F-0B-0F"
"SB0523",1.00111111111111E+042,477777377413071,"4F-7F-7B-7F-0B-0F"
"SB0525",1.00111111111111E+042,477777737413071,"4F-7F-7F-3F-0B-0F"
"SB0526",1.00111111111111E+042,477777767413071,"4F-7F-7F-6F-0B-0F"
"SB0527",1.00111111111111E+042,477777777412071,"4F-7F-7F-7F-0A-0F"
"SB0534",1.1111111111111E+042,777762777760601,"7F-7F-17-7F-F0-61"
"SB0540",1.10111110111111E+042,676771777774600,"6F-5F-4F-7F-FC-60"
"SB0542",1.01111111111111E+042,577777607760671,"5F-7F-7E-0F-F0-6F"
"SB0551",1.11111111111111E+042,777777607760631,"7F-7F-7E-0F-F0-67"
"SB0554",1.11111111111111E+042,777777777620031,"7F-7F-7F-7F-90-07"
"SB0559",1.10111110111111E+042,676773677757600,"6F-5F-5E-7F-EF-60"
"SB0560",1.10111110111111E+042,676773777777000,"6F-5F-5F-7F-FF-00"
"SB0567",1.01011000111111E+042,530777677763671,"56-1F-7E-7F-F3-6F"
"SB0570",1.01111111111111E+042,577777777413071,"5F-7F-7F-7F-0B-0F"
"SB0577",1.11111101111111E+042,775777777760601,"7F-3F-7F-7F-F0-61"
"SB0581",1.11111111111111E+042,777771677413671,"7F-7F-4E-7F-0B-6F"
"SB0589",1.11111000111111E+042,770777707777660,"7E-1F-7F-0F-FF-6C"
"SB0591",1.10111110111111E+042,676777677777200,"6F-5F-7E-7F-FF-20"
"SB0597",1.11110111111111E+042,767777777720631,"7D-7F-7F-7F-D0-67"
"SB0602",1.11111111111111E+042,777775777760431,"7F-7F-6F-7F-F0-47"
"SB0613",1.11101111111111E+042,757777777413671,"7B-7F-7F-7F-0B-6F"
"SB0614",1.11101111111111E+042,757777777760631,"7B-7F-7F-7F-F0-67"
"SB0624",1.11111111111111E+042,777777777403671,"7F-7F-7F-7F-03-6F"
"SB0627",1.11111111111111E+042,777777777412671,"7F-7F-7F-7F-0A-6F"
"SB0631",1.11111110011111E+042,776377777761670,"7F-4F-7F-7F-F1-6E"
"SB0649",1.11111000111111E+042,770777577777671,"7E-1F-7D-7F-FF-6F"
"SB0650",1.11111011011111E+042,773377777763671,"7E-6F-7F-7F-F3-6F"
"SB0652",1.11111111011111E+042,777377777763671,"7F-6F-7F-7F-F3-6F"
"SB0653",1.11111111111111E+042,777770000000000,"7F-7F-40-00-00-00"
"SB0654",1E+039,40000000000600,"08-00-00-00-00-60"
"SB0655",1.11E+039,70000000003600,"0E-00-00-00-03-60"
"SB0656",1.111E+039,74000030000400,"0F-00-00-30-00-40"
"SB0657",1.111E+039,74000032000400,"0F-00-00-34-00-40"
"SB0658",1.111E+039,74000007777600,"0F-00-00-0F-FF-60"
"SB0659",1.111E+039,74000037377600,"0F-00-00-3E-FF-60"
"SB0660",1.10110100000111E+042,664073777400600,"6D-03-5F-7F-00-60"
"SB0661",1.1011010000011E+042,664063774037600,"6D-03-1F-78-1F-60"
"SB0662",1.00100000000001E+042,440013777777600,"48-00-5F-7F-FF-60"
"SB0663",1.101E+042,640003777777600,"68-00-1F-7F-FF-60"
"SB0664",1.10100000000001E+042,640013737777600,"68-00-5F-3F-FF-60"
"SB0665",1.1011010000011E+042,664063077777600,"6D-03-18-7F-FF-60"
"SB0666",1.10110100000111E+042,664073777741600,"6D-03-5F-7F-E1-60"
"SB0667",1.10110100000111E+042,664073077777600,"6D-03-58-7F-FF-60"
"SB0668",1.10110100000111E+042,664073777707600,"6D-03-5F-7F-C7-60"
"SB0669",1.011010000011E+041,264063777777600,"2D-03-1F-7F-FF-60"
"SB0670",1.1011010000011E+042,664063377777600,"6D-03-1B-7F-FF-60"
"SB0671",1.1011010000011E+042,664063777757600,"6D-03-1F-7F-EF-60"
"SB0672",1.1011010000011E+042,664063777767600,"6D-03-1F-7F-F7-60"
"SB0673",1.0110100000111E+041,264073777777600,"2D-03-5F-7F-FF-60"
"SB0674",1.0011110000011E+042,474063777777600,"4F-03-1F-7F-FF-60"
"SB0675",1.1011110000011E+042,674063777777600,"6F-03-1F-7F-FF-60"
"SB0676",1.1111110000011E+042,774063777777600,"7F-03-1F-7F-FF-60"
"SB0677",1.1011110000011E+042,674063777777660,"6F-03-1F-7F-FF-6C"
"SB0678",1.1011111010111E+042,676563777777600,"6F-57-1F-7F-FF-60"
"SB0802",1.111111111111E+042,777741000020601,"7F-7E-08-00-10-61"
"SB0807",1.10111110111111E+042,676773675777600,"6F-5F-5E-7B-FF-60"
"SB0812",1.011010000011E+041,264063777767600,"2D-03-1F-7F-F7-60"
"SB0813",1.10110100000111E+042,664072177776600,"6D-03-51-7F-FE-60"
"SB0814",100000000000,20000,"00-00-00-00-10-00"
"SB0815",1.10100000000001E+042,640013777775600,"68-00-5F-7F-FD-60"
"SB0816",1.10110100000111E+042,664073077777200,"6D-03-58-7F-FF-20"
"SB0818",1.10111110111111E+042,676773777767600,"6F-5F-5F-7F-F7-60"
"SB0819",1.11100011111111E+025,1707777600,"00-00-0F-0F-FF-60"
"SB0820",1.10111110111111E+042,676773737777600,"6F-5F-5F-3F-FF-60"
"SB0821",1.10100110111111E+042,646770077767600,"69-5F-40-7F-F7-60"
