,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
159,2602,2602,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2602_S74_L001-4_R2_001.fastq.gz,1,SB0980,2602,4,Monaghan-1
160,2606,2606,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2606_S51_L001-4_R2_001.fastq.gz,1,SB0142,2606,6,Monaghan-3
161,2608,2608,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2608_S36_L001-4_R2_001.fastq.gz,1,SB0142,2608,6,Monaghan-3
162,2611,2611,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2611_S19_L001-4_R2_001.fastq.gz,1,SB0142,2611,6,Monaghan-3
163,27-MBovis,27-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/27-MBovis_S3_L001-4_R2_001.fastq.gz,1,SB0054,27-MBovis,5,Wicklow-1
164,2703,2703,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2703_S94_L001-4_R1_001.fastq.gz,1,SB0140,2703,2,
165,2739,2739,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2739_S45_L001-4_R2_001.fastq.gz,1,SB0140,2739,7,NI-1
166,28-12935,28-12935,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/28-12935_S66_L001-4_R2_001.fastq.gz,1,SB0054,28-12935,5,Wicklow-1
167,2809,2809,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2809_S61_L001-4_R2_001.fastq.gz,1,SB0140,2809,3,Monaghan-2
168,29-MBovis,29-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/29-MBovis_S37_L001-4_R1_001.fastq.gz,1,SB0054,29-MBovis,5,Wicklow-1
169,2975,2975,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2975_S40_L001-4_R2_001.fastq.gz,1,SB0142,2975,6,Monaghan-3
170,2976,2976,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2976_S95_L001-4_R2_001.fastq.gz,1,SB0142,2976,6,Monaghan-3
171,2977,2977,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/2977_S22_L001-4_R2_001.fastq.gz,1,SB0142,2977,6,Monaghan-3
172,2980,2980,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2980_S36_L001-4_R1_001.fastq.gz,1,SB0140,2980,3,Monaghan-2
173,3-10110,3-10110,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/3-10110_S39_L001-4_R1_001.fastq.gz,1,SB0054,3-10110,5,Wicklow-1
174,30-MBovis,30-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/30-MBovis_S41_L001-4_R2_001.fastq.gz,1,SB0054,30-MBovis,5,Wicklow-1
175,3090,3090,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/3090_S39_L001-4_R1_001.fastq.gz,1,SB0140,3090,3,Monaghan-2
