SB,binary,octal,hexadecimal
SB1095,1001111101111110111101111111111111111100000,476773677777600,4F-5F-5E-7F-FF-60
SB1098,1101111101111110111111111100101111111000000,676773776277400,6F-5F-5F-7C-BF-40
SB1099,1001111101111110111111111111101111111100000,476773777677600,4F-5F-5F-7F-BF-60
SB1100,1101011101111110111111111111101111111100000,656773777677600,6B-5F-5F-7F-BF-60
SB1101,1101111001111110111111111111100111111100000,674773777637600,6F-1F-5F-7F-9F-60
SB1102,1101111101111110111000111111111111111100000,676773437777600,6F-5F-5C-3F-FF-60
SB1103,1101111101111110111000111111100111111100000,676773437637600,6F-5F-5C-3F-9F-60
SB1104,1100111101111110111111111111101111111100000,636773777677600,67-5F-5F-7F-BF-60
SB1105,1101111100111110111111111111101111111100000,676373777677600,6F-4F-5F-7F-BF-60
SB1109,0001101000101100111111111111111111101100000,064263777776600,0D-0B-1F-7F-FE-60
SB1110,0001101000101100111111111111111111111100000,064263777777600,0D-0B-1F-7F-FF-60
SB1111,0001101000001100011111111111111111111100000,064061777777600,0D-03-0F-7F-FF-60
SB1112,0101101000001000111111111111111111111100000,264043777777600,2D-02-1F-7F-FF-60
SB1113,1001101000001100111111111111111011101100000,464063777756600,4D-03-1F-7F-EE-60
SB1114,1001000000000000111111111111111111111100000,440003777777600,48-00-1F-7F-FF-60
SB1115,0101101000001100111000011111111111111100000,264063417777600,2D-03-1C-1F-FF-60
SB1116,1101101000001100111111111111110000001100000,664063777700600,6D-03-1F-7F-C0-60
SB1118,1101000000000000111111111111111111101100000,640003777776600,68-00-1F-7F-FE-60
SB1119,0101000000000000111111111111111111111100000,240003777777600,28-00-1F-7F-FF-60
SB1120,1101000000000000111111111111011001101100000,640003777546600,68-00-1F-7F-66-60
SB1121,1100000000000000001111111111111111111100000,600000777777600,60-00-07-7F-FF-60
SB1122,1101101000001100111111111111111111101100000,664063777776600,6D-03-1F-7F-FE-60
SB1123,1101101000000100111111111111111111101100000,664023777776600,6D-01-1F-7F-FE-60
SB1124,1101001000001000111111111111111101111100000,644043777767600,69-02-1F-7F-F7-60
SB1125,1001101000001100111110111011011001101100000,464063735546600,4D-03-1F-3B-66-60
SB1126,1101111101111000111101111111111111101100000,676743677776600,6F-5E-1E-7F-FE-60
SB1127,1101111101011100111111111101111101101100000,676563776766600,6F-57-1F-7D-F6-60
SB1128,1101111001011100111111111110001111101100000,674563777076600,6F-17-1F-7E-3E-60
SB1129,1101111001011100111111111110001111111100000,674563777077600,6F-17-1F-7E-3F-60
SB1130,1000000000000000111100111111111001101100000,400003637746600,40-00-1E-3F-E6-60
SB1131,1101101000001100011111111111110000001100000,664061777700600,6D-03-0F-7F-C0-60
SB1132,1101000000000000010111111100011111111100000,640001376177600,68-00-0B-7C-7F-60
SB1133,1001111001111100111000111011011001101100000,474763435546600,4F-1F-1C-3B-66-60
SB1134,0101101000001100111111111111111111011100000,264063777775600,2D-03-1F-7F-FD-60
SB1135,1101111001111110111101111111111111110100000,674773677777200,6F-1F-5E-7F-FF-20
SB1136,0000000000011110111111111111111111111100000,000173777777600,00-07-5F-7F-FF-60
SB1137,1101111001111110111101111000111111110100000,674773674377200,6F-1F-5E-78-FF-20
SB1138,1101111100000000011101111111111111110100000,676001677777200,6F-40-0E-7F-FF-20
SB1139,1101111101111110111111110000000000111100000,676773770003600,6F-5F-5F-70-03-60
SB1140,1101111101111110111101111110111111110100000,676773677377200,6F-5F-5E-7E-FF-20
SB1141,1101111101111110111001111111111111111100000,676773477777600,6F-5F-5C-7F-FF-60
SB1142,1101111101111110111101011111111111111100000,676773657777600,6F-5F-5E-5F-FF-60
SB1143,0101111101111110111101111011111111111100000,276773675777600,2F-5F-5E-7B-FF-60
SB1144,1101111101111110111101111111100000001100000,676773677600600,6F-5F-5E-7F-80-60
SB1145,1100000101111110111101111000011111111100000,602773674177600,60-5F-5E-78-7F-60
SB1146,1101101000001110111111111111111110011100000,664073777771600,6D-03-5F-7F-F9-60
SB1147,1101110001111110111101111111111111111100000,670773677777600,6E-1F-5E-7F-FF-60
SB1148,1101111101111110111111111000111111111100000,676773774377600,6F-5F-5F-78-FF-60
SB1149,1101111101111110111101111110011111111100000,676773677177600,6F-5F-5E-7E-7F-60
SB1150,1101111100111000111101111100000111111100000,676343676037600,6F-4E-1E-7C-1F-60
SB1151,1110000001111000010000101111111111001101111,700741027774671,70-1E-08-2F-FC-6F
SB1152,1000000000000000001111111111111111111100000,400000777777600,40-00-07-7F-FF-60
SB1153,1000011000111100111111111111111111111100000,414363777777600,43-0F-1F-7F-FF-60
SB1154,1100011000111100111111111111111101111100000,614363777767600,63-0F-1F-7F-F7-60
SB1155,1100010000111110111111111111111111111100000,610373777777600,62-0F-5F-7F-FF-60
SB1156,1100011000111000011111111111111111111100000,614341777777600,63-0E-0F-7F-FF-60
SB1157,1100011000111110111111111111110111111100000,614373777737600,63-0F-5F-7F-DF-60
SB1158,1100011000111100111111111111111100011100000,614363777761600,63-0F-1F-7F-F1-60
SB1159,1100011000111100111111111111111111110100000,614363777777200,63-0F-1F-7F-FF-20
SB1160,1100011000111110111111111111111111001100000,614373777774600,63-0F-5F-7F-FC-60
SB1161,1100011000111100111111111111111111111100000,614363777777600,63-0F-1F-7F-FF-60
SB1162,0001111000000000000000111101111111111100000,074000036777600,0F-00-00-3D-FF-60
SB1163,1101111101110110111111111111111111101100000,676733777776600,6F-5D-5F-7F-FE-60
SB1164,1101111101011110111111111111111100111100000,676573777763600,6F-57-5F-7F-F3-60
SB1165,1101000000000110111111111111111111111100000,640033777777600,68-01-5F-7F-FF-60
SB1166,1101111101111110111111111111000111111100000,676773777437600,6F-5F-5F-7F-1F-60
SB1167,1101111101111110111111011111111111111100000,676773757777600,6F-5F-5F-5F-FF-60
SB1168,1101111101111100011111011111111111111100000,676761757777600,6F-5F-0F-5F-FF-60
SB1169,1101111101111110011111111111111111111100000,676771777777600,6F-5F-4F-7F-FF-60
SB1170,1101111100000110111111111111111111111100000,676033777777600,6F-41-5F-7F-FF-60
SB1171,1101111101110110111111011111111111111100000,676733757777600,6F-5D-5F-5F-FF-60
SB1172,1101111000111010111101111111111111111100000,674353677777600,6F-0E-5E-7F-FF-60
SB1173,1101111101111110111101111111111111000000000,676773677774000,6F-5F-5E-7F-FC-00
SB1174,1100111101110110111111111111111111001100000,636733777774600,67-5D-5F-7F-FC-60
SB1175,1100011100000000000000001101111111111100000,616000006777600,63-40-00-0D-FF-60
SB1176,1100000101111110111111100010000000000100000,602773761000200,60-5F-5F-62-00-20
SB1177,1101111101111110111101111000111111111100000,676773674377600,6F-5F-5E-78-FF-60
SB1178,1101111101111100111111111111111111101100000,676763777776600,6F-5F-1F-7F-FE-60
SB1179,0001111101111110111101111000111111110100000,076773674377200,0F-5F-5E-78-FF-20
SB1180,1101101000001110111111111111101100111100000,664073777663600,6D-03-5F-7F-B3-60
SB1181,1101101000001110111111111111100100111100000,664073777623600,6D-03-5F-7F-93-60
SB1182,1101101000001110111111111111110111111100000,664073777737600,6D-03-5F-7F-DF-60
SB1183,0101101000001100111101111101111111101100000,264063676776600,2D-03-1E-7D-FE-60
